# emapper version: emapper-1.0.3 emapper DB: 4.5.1-RA	
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60-RA	
# time: Tue Oct  2 21:05:37 2018-RA	
#query_name-RA	eggNOG annot
Amillepora05421-RA	Phosphatidic acid phosphatase type 2 domain containing
Amillepora05425-RA	Hematopoietic cell-specific lyn substrate 1
Amillepora05434-RA	receptor
Amillepora05428-RA	receptor
Amillepora05431-RA	deoxyribose-phosphate aldolase
Amillepora05429-RA	cystinosin
Amillepora05430-RA	cystinosin
Amillepora05435-RA	Transmembrane and tetratricopeptide repeat containing
Amillepora05437-RA	Methyl-CpG binding domain protein
Amillepora05438-RA	O-acyl-ADP-ribose deacylase 1
Amillepora05436-RA	Tubulin, gamma complex associated protein 2
Amillepora05439-RA	tubby like protein
Amillepora05446-RA	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)
Amillepora05447-RA	Transient receptor potential cation channel subfamily C member
Amillepora05445-RA	Photoreceptor required for image-forming vision at low light intensity. Required for photoreceptor cell viability after birth. Light-induced isomerization of 11-cis to all-trans retinal triggers a conformational change leading to G-protein activation and release of all-trans retinal
Amillepora05452-RA	Inherit from KOG: transposon protein
Amillepora05457-RA	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)
Amillepora05453-RA	BCCT family transporter
Amillepora05451-RA	MULE transposase domain
Amillepora05454-RA	cytochrome P450
Amillepora05449-RA	MULE transposase domain
Amillepora05450-RA	MULE transposase domain
Amillepora05461-RA	Zinc finger, DHHC-type containing
Amillepora05463-RA	family member
Amillepora05465-RA	Metastasis suppressor
Amillepora05462-RA	PTB domain (IRS-1 type)
Amillepora05473-RA	cyclic nucleotide binding domain containing 1
Amillepora05470-RA	Kinesin family member
Amillepora05472-RA	mitochondrial inner membrane protein
Amillepora05468-RA	Family with sequence similarity 96, member
Amillepora05469-RA	Ankyrin and armadillo repeat containing
Amillepora05471-RA	Kinesin family member
Amillepora05477-RA	Enoyl-CoA delta isomerase 1
Amillepora05476-RA	Transmembrane protein 104
Amillepora05484-RA	contactin associated protein-like
Amillepora05487-RA	contactin associated protein-like
Amillepora05488-RA	contactin associated protein-like
Amillepora05486-RA	contactin associated protein-like
Amillepora05490-RA	contactin associated protein-like
Amillepora05485-RA	contactin associated protein-like
Amillepora05492-RA	contactin associated protein-like
Amillepora05502-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora05508-RA	Inherit from KOG: Retrotransposon protein
Amillepora05507-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora05499-RA	Protein of unknown function (DUF1759)
Amillepora05497-RA	Pao retrotransposon peptidase 
Amillepora05511-RA	Inherit from KOG: Growth factor receptor
Amillepora05515-RA	Male sterility protein
Amillepora05518-RA	Male sterility protein
Amillepora05526-RA	Pao retrotransposon peptidase 
Amillepora05519-RA	piggyBac transposable element derived 4
Amillepora05516-RA	Inherit from euNOG: solute carrier family 17
Amillepora05531-RA	Pao retrotransposon peptidase 
Amillepora05541-RA	Inherit from euNOG: solute carrier family 17
Amillepora05545-RA	Inherit from KOG: Growth factor receptor
Amillepora05548-RA	integrase core domain protein
Amillepora05544-RA	ZnF_C2H2
Amillepora05546-RA	Pao retrotransposon peptidase 
Amillepora05542-RA	Pao retrotransposon peptidase 
Amillepora05536-RA	Pao retrotransposon peptidase 
Amillepora05538-RA	Pao retrotransposon peptidase 
Amillepora05540-RA	Protein of unknown function (DUF1759)
Amillepora05537-RA	Inherit from euNOG: solute carrier family 17
Amillepora05550-RA	parkinson protein 7
Amillepora05552-RA	parkinson protein 7
Amillepora05567-RA	Integrase core domain
Amillepora05569-RA	Transposase family tnp2
Amillepora05572-RA	Pao retrotransposon peptidase 
Amillepora05575-RA	Inherit from euNOG: Retrotransposon protein
Amillepora05576-RA	integrase core domain protein
Amillepora05585-RA	PR domain containing 14
Amillepora05586-RA	DEAH (Asp-Glu-Ala-His) box polypeptide 8
Amillepora05581-RA	Inherit from KOG: Growth factor receptor
Amillepora05583-RA	protein Hydra magnipapillata
Amillepora05589-RA	Gastrulation brain homeobox
Amillepora05592-RA	homeobox
Amillepora05588-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora05598-RA	-phosphatase
Amillepora05593-RA	GATA zinc finger domain containing 1
Amillepora05599-RA	chromosome 17 open reading frame 104
Amillepora05597-RA	Solute carrier family 25 member
Amillepora05596-RA	Solute carrier family 25 member
Amillepora05604-RA	YqaJ-like viral recombinase domain
Amillepora05603-RA	tigger transposable element derived 6
Amillepora05610-RA	Inherit from KOG: DNA helicase
Amillepora05606-RA	Inherit from opiNOG: Conserved hypothetical protein
Amillepora05612-RA	Protein of unknown function (DUF640)
Amillepora05615-RA	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide
Amillepora05618-RA	SPEG complex locus
Amillepora05617-RA	calcium-dependent protein kinase
Amillepora05635-RA	WSC domain
Amillepora05622-RA	myosin light chain kinase
Amillepora05625-RA	mcf.2 cell line derived transforming
Amillepora05621-RA	calcium-dependent protein kinase
Amillepora05628-RA	SEC14 and spectrin domains 1
Amillepora05627-RA	mcf.2 cell line derived transforming
Amillepora05623-RA	IG_like
Amillepora05640-RA	piggyBac transposable element derived 4
Amillepora05639-RA	piggyBac transposable element derived 4
Amillepora05645-RA	Zinc finger protein 862
Amillepora05650-RA	Inherit from euNOG: solute carrier family 17
Amillepora05649-RA	Inherit from euNOG: Retrotransposon protein
Amillepora05651-RA	Pao retrotransposon peptidase 
Amillepora05656-RA	Inherit from euNOG: solute carrier family 17
Amillepora05657-RA	Inherit from euNOG: solute carrier family 17
Amillepora05659-RA	Pao retrotransposon peptidase 
Amillepora05658-RA	Pao retrotransposon peptidase 
Amillepora05664-RA	oxidoreductase
Amillepora05661-RA	Inherit from KOG: DNA helicase
Amillepora05665-RA	GLI pathogenesis-related 2
Amillepora05666-RA	germ cell associated 2 (haspin)
Amillepora05667-RA	Dead deah box helicase
Amillepora05668-RA	Dead deah box helicase
Amillepora05673-RA	GLI pathogenesis-related 2
Amillepora05674-RA	oxidoreductase
Amillepora05670-RA	Dead deah box helicase
Amillepora05672-RA	germ cell associated 2 (haspin)
Amillepora05684-RA	kelch-like
Amillepora05685-RA	Inherit from KOG: DNA helicase
Amillepora05680-RA	transmembrane and tetratricopeptide repeat containing 1
Amillepora05676-RA	Inherit from KOG: Retrotransposon protein
Amillepora05675-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora05681-RA	homeobox
Amillepora05682-RA	H6 family homeobox
Amillepora05683-RA	Sterol 24-c-methyltransferase
Amillepora05677-RA	oxidoreductase
Amillepora05687-RA	homeobox
Amillepora05688-RA	Guanine nucleotide binding protein (G protein), alpha
Amillepora05689-RA	t-complex protein 1
Amillepora05686-RA	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)
Amillepora05693-RA	cell division cycle
Amillepora05695-RA	WD repeat domain 34
Amillepora05691-RA	Ectonucleoside triphosphate diphosphohydrolase
Amillepora05694-RA	Family with sequence similarity 184, member A
Amillepora05700-RA	cell division cycle 25 homolog
Amillepora05699-RA	Arylsulfatase
Amillepora05701-RA	Trna pseudouridine synthase
Amillepora05709-RA	chromosome 10 open reading frame 76
Amillepora05703-RA	Cytochrome C oxidase assembly protein
Amillepora05705-RA	Solute carrier family 39 (Zinc transporter), member 13
Amillepora05710-RA	transforming acidic coiled-coil containing protein
Amillepora05711-RA	Dehydrogenase reductase SDR family member
Amillepora05712-RA	Dehydrogenase reductase SDR family member
Amillepora05707-RA	tetratricopeptide repeat domain 31
Amillepora05719-RA	H6 family homeobox
Amillepora05718-RA	Dehydrogenase reductase SDR family member
Amillepora05714-RA	Dehydrogenase reductase SDR family member
Amillepora05716-RA	Dehydrogenase reductase SDR family member
Amillepora05717-RA	Dehydrogenase reductase SDR family member
Amillepora05721-RA	WW domain binding protein 1-like
Amillepora05723-RA	DyNactin
Amillepora05720-RA	SMYD family member 5
Amillepora05722-RA	Eukaryotic peptide chain release factor subunit
Amillepora05725-RA	vacuolar protein sorting 51 homolog (S. cerevisiae)
Amillepora05732-RA	ribosomal protein L27
Amillepora05731-RA	homolog (zebrafish)
Amillepora05734-RA	Lim domain binding
Amillepora05740-RA	Family with sequence similarity 136, member A
Amillepora05739-RA	Catenin (Cadherin-associated protein)
Amillepora05738-RA	Tetratricopeptide repeat domain 14
Amillepora05736-RA	ATPdependent RNA helicase
Amillepora05735-RA	WD repeat domain 54
Amillepora05744-RA	fumarylacetoacetate hydrolase
Amillepora05743-RA	fumarylacetoacetate hydrolase
Amillepora05741-RA	eukaryotic translation initiation factor 2alpha kinase
Amillepora05748-RA	transmembrane protein 173
Amillepora05745-RA	transmembrane protein 173
Amillepora05746-RA	transmembrane protein 173
Amillepora05747-RA	transmembrane protein 173
Amillepora05760-RA	SUMO-interacting motifs containing 1
Amillepora05763-RA	ornithine aminotransferase
Amillepora05762-RA	sideroflexin
Amillepora05764-RA	deafness, autosomal recessive 31
Amillepora05761-RA	4-hydroxyphenylpyruvate dioxygenase
Amillepora05754-RA	transmembrane protein 173
Amillepora05759-RA	transmembrane protein 173
Amillepora05751-RA	transmembrane protein 173
Amillepora05752-RA	transmembrane protein 173
Amillepora05753-RA	transmembrane protein 173
Amillepora05758-RA	transmembrane protein 173
Amillepora05755-RA	transmembrane protein 173
Amillepora05767-RA	Pleckstrin homology domain containing, family A (Phosphoinositide binding specific) member
Amillepora05765-RA	Protein farnesyltransferase geranylgeranyltransferase type-1 subunit
Amillepora05769-RA	kinesin family member 11
Amillepora05768-RA	Kelch domain containing
Amillepora05766-RA	haloacid dehalogenase-like hydrolase domain containing 2
Amillepora05771-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora05772-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora05774-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora05775-RA	Lipoxygenase
Amillepora05777-RA	chromosome 9 open reading frame 41
Amillepora05776-RA	ring finger protein 180
Amillepora05783-RA	Angel homolog
Amillepora05785-RA	Pyruvate kinase
Amillepora05784-RA	whole genome shotgun sequence
Amillepora05782-RA	member RAS oncogene family
Amillepora05780-RA	PC4 and SFRS1 interacting protein 1
Amillepora05788-RA	Regulatory factor X, 7
Amillepora05793-RA	glycine amidinotransferase (L-arginine glycine amidinotransferase)
Amillepora05790-RA	40s ribosomal protein S27
Amillepora05789-RA	family with sequence similarity 214, member
Amillepora05795-RA	glycine amidinotransferase (L-arginine glycine amidinotransferase)
Amillepora05797-RA	Aldo/keto reductase family
Amillepora05806-RA	peptidoglycan-binding, domain containing 1
Amillepora05809-RA	dymeclin
Amillepora05811-RA	SMAD family member
Amillepora05810-RA	SMAD family member
Amillepora05821-RA	Solute carrier family 25
Amillepora05808-RA	TLD
Amillepora05829-RA	Hydra magnipapillata
Amillepora05825-RA	astacin-like metalloendopeptidase (M12 family)
Amillepora05828-RA	KTI12 homolog, chromatin associated (S. cerevisiae)
Amillepora05826-RA	CDC42 small effector
Amillepora05832-RA	cholinergic receptor, nicotinic
Amillepora05830-RA	Chromosome 5 open reading frame 28
Amillepora05836-RA	Adaptor-related protein complex
Amillepora05834-RA	TBC1 domain family member
Amillepora05842-RA	Pao retrotransposon peptidase 
Amillepora05860-RA	WD repeat domain 7
Amillepora05854-RA	Inherit from euNOG: Retrotransposon protein
Amillepora05859-RA	Thioredoxin-like protein
Amillepora05869-RA	centrin, EF-hand protein
Amillepora05863-RA	Myosin VA (Heavy chain 12, myoxin)
Amillepora05862-RA	fgfr1op N-terminal like
Amillepora05864-RA	Inherit from euNOG: Retrotransposon protein
Amillepora05865-RA	tetratricopeptide repeat protein, tpr
Amillepora05872-RA	Mesoderm development candidate 1
Amillepora05867-RA	chitin synthase
Amillepora05868-RA	LRR
Amillepora05878-RA	ras-related protein
Amillepora05876-RA	ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells
Amillepora05874-RA	G-protein signaling modulator
Amillepora05875-RA	tetratricopeptide repeat domain 28
Amillepora05879-RA	Transient receptor potential cation channel subfamily A member
Amillepora05880-RA	Cold shock domain containing E1, RNA-binding
Amillepora05887-RA	Mucosa associated lymphoid tissue lymphoma translocation gene 1
Amillepora05901-RA	Inherit from euNOG: solute carrier family 17
Amillepora05894-RA	G-protein signaling modulator
Amillepora05900-RA	Pao retrotransposon peptidase 
Amillepora05897-RA	Inherit from euNOG: Retrotransposon protein
Amillepora05905-RA	member RAS oncogene family
Amillepora05902-RA	tetratricopeptide repeat domain 29
Amillepora05903-RA	G-protein signaling modulator
Amillepora05904-RA	member RAS oncogene family
Amillepora05906-RA	Histone methyltransferase that specifically trimethylates 'Lys-4' of histone H3 during meiotic prophase and is essential for proper meiotic progression. Does not have the ability to mono- and dimethylate 'Lys-4' of histone H3. H3 'Lys-4' methylation represents a specific tag for epigenetic transcriptional activation. Plays a central role in the transcriptional activation of genes during early meiotic prophase
Amillepora05914-RA	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)
Amillepora05917-RA	proline-serine-threonine phosphatase interacting protein
Amillepora05915-RA	protease
Amillepora05909-RA	Testis expressed 9
Amillepora05911-RA	Polycystin cation channel
Amillepora05919-RA	FERM central domain
Amillepora05933-RA	chondroitin sulfate
Amillepora05927-RA	TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation (By similarity)
Amillepora05926-RA	Tyrosine-protein kinase
Amillepora05923-RA	Ribosomal protein
Amillepora05922-RA	chromosome 14 open reading frame 166B
Amillepora05925-RA	Selenium binding protein 1
Amillepora05924-RA	histidine triad nucleotide binding protein
Amillepora05931-RA	Mago nashi
Amillepora05939-RA	acid PHOsphatase
Amillepora05934-RA	tropomodulin
Amillepora05936-RA	Tight junction protein
Amillepora05937-RA	immunoglobulin superfamily DCC subclass member 3
Amillepora05940-RA	family with sequence similarity 189, member B
Amillepora05948-RA	cytochrome P450
Amillepora05942-RA	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)
Amillepora05947-RA	pyroglutamylated RFamide peptide receptor
Amillepora05945-RA	pyroglutamylated RFamide peptide receptor
Amillepora05946-RA	pyroglutamylated RFamide peptide receptor
Amillepora05944-RA	pyroglutamylated RFamide peptide receptor
Amillepora05952-RA	Pentaxin family
Amillepora05956-RA	Ribosomal RNA adenine dimethylase domain containing 1
Amillepora05955-RA	WD domain, G-beta repeat
Amillepora05949-RA	rna polymerase
Amillepora05958-RA	Acetyl-CoA carboxylase
Amillepora05960-RA	Transient receptor potential cation channel subfamily C member
Amillepora05962-RA	Transient receptor potential cation channel subfamily C member
Amillepora05968-RA	FK506 binding protein like
Amillepora05965-RA	Inherit from KOG: protein tyrosine phosphatase receptor type
Amillepora05966-RA	PRELI domain containing 2
Amillepora05971-RA	major facilitator superfamily domain containing 12
Amillepora05969-RA	major facilitator superfamily domain containing 12
Amillepora05970-RA	major facilitator superfamily domain containing 12
Amillepora05964-RA	Integrase core domain
Amillepora05976-RA	major facilitator superfamily domain containing 12
Amillepora05972-RA	major facilitator superfamily domain containing 12
Amillepora05977-RA	major facilitator superfamily domain containing 12
Amillepora05991-RA	SH3 and multiple ankyrin repeat domains
Amillepora05989-RA	major facilitator superfamily domain containing 12
Amillepora05997-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora05999-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora06003-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora06000-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora05998-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora05996-RA	Gamma-aminobutyric acid (GABA) A receptor
Amillepora06006-RA	Family with sequence similarity 149, member
Amillepora06020-RA	tetraspanin
Amillepora06009-RA	interacting protein
Amillepora06019-RA	phosphodiesterase
Amillepora06016-RA	(dCMP) deaminase
Amillepora06013-RA	(dCMP) deaminase
Amillepora06012-RA	(dCMP) deaminase
Amillepora06017-RA	(dCMP) deaminase
Amillepora06018-RA	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8
Amillepora06026-RA	K14797 essential nuclear protein 1
Amillepora06025-RA	ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells
Amillepora06021-RA	calcium calmodulin-dependent protein kinase
Amillepora06028-RA	K06254 agrin
Amillepora06033-RA	rat sarcoma viral oncogene homolog
Amillepora06038-RA	pancreatic
Amillepora06030-RA	Phosphonopyruvate
Amillepora06037-RA	Arrestin domain containing
Amillepora06034-RA	Rho GTPase activating protein 39
Amillepora06029-RA	ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells
Amillepora06036-RA	Arrestin domain containing
Amillepora06032-RA	Kinesin family member
Amillepora06035-RA	Microtubule-associated protein 1 light chain 3
Amillepora06040-RA	Aldehyde dehydrogenase
Amillepora06042-RA	SAP30 binding protein
Amillepora06041-RA	Aldehyde dehydrogenase
Amillepora06039-RA	WSC domain
Amillepora06054-RA	Vacuolar Protein
Amillepora06050-RA	Major Facilitator superfamily
Amillepora06046-RA	Creatinase/Prolidase N-terminal domain
Amillepora06048-RA	Arrestin domain containing
Amillepora06051-RA	Vacuolar Protein
Amillepora06047-RA	X-ray repair complementing defective repair in Chinese hamster cells 4
Amillepora06061-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora06062-RA	Chromosome 1 open reading frame 109
Amillepora06059-RA	Transient receptor potential cation channel subfamily C member
Amillepora06058-RA	phosphatidylinositol glycan anchor biosynthesis, class C
Amillepora06056-RA	Family with sequence similarity 102, member
Amillepora06069-RA	ttk protein kinase
Amillepora06066-RA	Chromosome
Amillepora06063-RA	chromosome 9 open reading frame 174
Amillepora06067-RA	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5
Amillepora06068-RA	Glycyl-trna synthetase
Amillepora06072-RA	Transient receptor potential cation channel subfamily C member
Amillepora06073-RA	Transient receptor potential cation channel subfamily C member
Amillepora06074-RA	Transient receptor potential cation channel subfamily C member
Amillepora06075-RA	Transient receptor potential cation channel subfamily C member
Amillepora06083-RA	Solute carrier family 27 (Fatty acid transporter), member
Amillepora06080-RA	Catalyzes the oxidation of uric acid to 5- hydroxyisourate, which is further processed to form (S)-allantoin (By similarity)
Amillepora06082-RA	PLAT/LH2 domain
Amillepora06078-RA	Transient receptor potential cation channel subfamily C member
Amillepora06087-RA	WD repeat domain 47
Amillepora06092-RA	Retinoid x receptor
Amillepora06085-RA	Solute carrier family 27 (Fatty acid transporter), member
Amillepora06086-RA	Death-domain associated protein
Amillepora06088-RA	kiaa1614
Amillepora06093-RA	sarcosine dehydrogenase
Amillepora06090-RA	SYNtaxin
Amillepora06091-RA	Copper-transporting ATPase
Amillepora06095-RA	Dienelactone hydrolase family protein
Amillepora06097-RA	Transcriptional adaptor 1
Amillepora06103-RA	TPR
Amillepora06094-RA	solute carrier family 25 (mitochondrial carrier)
Amillepora06100-RA	Ribosomal protein L35
Amillepora06104-RA	EF-hand calcium binding domain
Amillepora06105-RA	EF-hand calcium binding domain
Amillepora06101-RA	Acts as a sulfur carrier required for 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). Serves as sulfur donor in tRNA 2-thiolation reaction by thiocarboxylated (-COSH) at its C-terminus by MOCS3. The sulfur is then transferred to tRNA to form 2-thiolation of mcm(5)S(2)U. May also act as an ubiquitin-like protein that is covalently conjugated to other proteins
Amillepora06115-RA	C-5 sterol desaturase
Amillepora06108-RA	C-5 sterol desaturase
Amillepora06113-RA	C-5 sterol desaturase
Amillepora06121-RA	ubiquitin carboxyl-terminal hydrolase
Amillepora06122-RA	complex subunit
Amillepora06120-RA	Drosha, ribonuclease type III
Amillepora06119-RA	ubiquitin carboxyl-terminal hydrolase
Amillepora06125-RA	influenza virus NS1A binding protein
Amillepora06132-RA	L-3-hydroxyproline dehydratase (trans-)
Amillepora06131-RA	L-3-hydroxyproline dehydratase (trans-)
Amillepora06127-RA	C. elegans
Amillepora06129-RA	ring finger and CCCH-type domains
Amillepora06145-RA	Tnf receptor-associated factor 2
Amillepora06135-RA	chromosome 6 open reading frame 136
Amillepora06139-RA	TNF receptor-associated factor 6, E3 ubiquitin protein ligase
Amillepora06138-RA	Tnf receptor-associated factor 2
Amillepora06137-RA	Tnf receptor-associated factor 2
Amillepora06133-RA	Nasal embryonic LHRH factor
Amillepora06136-RA	dual specificity phosphatase 12
Amillepora06134-RA	Cation-transporting atpase
Amillepora06142-RA	TNF receptor-associated factor 6, E3 ubiquitin protein ligase
Amillepora21882-RA	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing
Amillepora21880-RA	deoxyribonuclease
Amillepora21875-RA	receptor, type
Amillepora21884-RA	collagen, type
Amillepora21886-RA	C1q and tumor necrosis factor related protein
Amillepora21895-RA	Cyclin-Dependent Kinase
Amillepora21898-RA	synaptotagmin VII
Amillepora21893-RA	origin recognition complex subunit
Amillepora21899-RA	solute carrier family 30 (zinc transporter), member
Amillepora21900-RA	C2 domain
Amillepora21896-RA	receptor, type
Amillepora21903-RA	intraflagellar transport 172 homolog (Chlamydomonas)
Amillepora21902-RA	Chondroitin polymerizing factor
Amillepora21904-RA	SET domain containing 6
Amillepora21908-RA	SET and MYND domain containing 4
Amillepora21910-RA	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3)
Amillepora21906-RA	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
Amillepora21911-RA	Coronin, actin binding protein
Amillepora21915-RA	Glycosyltransferase-like
Amillepora21923-RA	Required for the assembly of mature ribosomes and ribosome biogenesis. Together with EFTUD1, triggers the GTP- dependent release of EIF6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome assembly and facilitating EIF6 recycling to the nucleus, where it is required for 60S rRNA processing and nuclear export. Required for normal levels of protein synthesis. May play a role in cellular stress resistance. May play a role in cellular response to DNA damage. May play a role in cell proliferation
Amillepora21921-RA	Flavodoxin
Amillepora21912-RA	Snf2-related CREBBP activator protein
Amillepora21919-RA	microtubule-associated protein RP EB family member
Amillepora21917-RA	Transmembrane protein 167A
Amillepora21918-RA	UDP-galactose-4-epimerase
Amillepora21920-RA	Metallophosphoesterase 1
Amillepora21922-RA	processing of precursor 5, ribonuclease P MRP subunit (S. cerevisiae)
Amillepora21926-RA	eukaryotic translation initiation factor 4H
Amillepora21924-RA	GATS protein-like
Amillepora21932-RA	40S ribosomal protein S21
Amillepora21914-RA	chromosome 12 open reading frame 10
Amillepora21913-RA	S. cerevisiae
Amillepora21929-RA	EF-hand calcium binding domain
Amillepora21927-RA	LON peptidase N-terminal domain and RING finger
Amillepora21925-RA	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Amillepora21928-RA	Histone deacetylase
Amillepora21935-RA	helicase 1
Amillepora21930-RA	pectinacetylesterase
Amillepora21937-RA	mitogen-activated protein kinase 15
Amillepora21938-RA	Laminin alpha
Amillepora21940-RA	Sphingomyelin phosphodiesterase
Amillepora21952-RA	Transducin beta-like protein
Amillepora21947-RA	Carboxypeptidase
Amillepora21945-RA	Galactose binding lectin domain
Amillepora21948-RA	INO80 complex subunit B
Amillepora21944-RA	von Willebrand factor type A domain
Amillepora21942-RA	Inherit from KOG: G- protein-coupled receptor
Amillepora21946-RA	Galactose binding lectin domain
Amillepora21943-RA	Inherit from KOG: Carboxypeptidase
Amillepora21951-RA	aryl hydrocarbon receptor interacting
Amillepora21956-RA	Calcium calmodulin-dependent protein kinase kinase
Amillepora21953-RA	rabaptin, RAB GTPase binding effector protein
Amillepora21958-RA	ABC transporter transmembrane region
Amillepora21969-RA	origin recognition complex subunit
Amillepora21967-RA	Protein phosphatase 6, regulatory subunit
Amillepora21957-RA	oxygenase
Amillepora21960-RA	Replication protein A1, 70kDa
Amillepora21955-RA	Chromosome 22 open reading frame 25
Amillepora21962-RA	phosphatase and actin regulator
Amillepora21968-RA	tetratricopeptide repeat protein GNN-like
Amillepora21966-RA	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
Amillepora21959-RA	Lysosomal protein transmembrane 4 alpha
Amillepora21973-RA	Zinc finger protein 512B
Amillepora21975-RA	CUE domain containing 1
Amillepora21976-RA	Density-regulated protein
Amillepora21971-RA	chromosome 6 open reading frame 183
Amillepora21981-RA	zinc finger protein 236
Amillepora21983-RA	Palmitoyl-protein thioesterase
Amillepora21982-RA	l-threonine 3-dehydrogenase, mitochondrial-like
Amillepora21989-RA	chromosome 18 open reading frame 8
Amillepora21992-RA	RANBP2-like and GRIP domain containing 2
Amillepora21991-RA	family with sequence similarity 135, member
Amillepora21984-RA	Aldo/keto reductase family
Amillepora21990-RA	Protein phosphatase 1, regulatory subunit
Amillepora21985-RA	Intraflagellar transport 52 homolog (Chlamydomonas)
Amillepora21986-RA	fer-1-like 6 (C. elegans)
Amillepora22003-RA	urease accessory protein
Amillepora21996-RA	Ion channel
Amillepora22004-RA	C. elegans
Amillepora21995-RA	EamA-like transporter family
Amillepora22001-RA	Prolactin regulatory element binding
Amillepora21998-RA	PQ loop repeat
Amillepora22013-RA	geminin, DNA replication inhibitor
Amillepora22009-RA	transmembrane 9 superfamily
Amillepora22019-RA	Phosphoglycerate mutase family member 5
Amillepora22012-RA	SYNtaxin
Amillepora22017-RA	SV2 related protein homolog (rat)
Amillepora22015-RA	kiaa1841
Amillepora22006-RA	Solute carrier family 35, member B3
Amillepora22008-RA	NEDD8 activating enzyme E1 subunit 1
Amillepora22014-RA	Proline dehydrogenase
Amillepora22018-RA	Chromosome 11 open reading frame 54
Amillepora22020-RA	Transmembrane channel-like
Amillepora22023-RA	Ion channel
Amillepora22030-RA	Peroxisomal membrane protein 2, 22kDa
Amillepora22028-RA	signal peptide peptidase like 3
Amillepora22025-RA	ubiquitin fusion degradation protein
Amillepora22026-RA	DiGeorge syndrome critical region gene 2
Amillepora22029-RA	zinc finger, HIT-type containing 3
Amillepora22027-RA	Structure specific recognition protein 1
Amillepora22024-RA	abhydrolase domain containing 15
Amillepora22031-RA	fructosamine 3 kinase
Amillepora22038-RA	acyl-CoA dehydrogenase
Amillepora22041-RA	replication factor c
Amillepora22033-RA	bleomycin hydrolase
Amillepora22037-RA	solute carrier family 12 (potassium chloride transporters), member 9
Amillepora22035-RA	mitochondrial ribosomal protein L44
Amillepora22046-RA	GLI pathogenesis-related 2
Amillepora22047-RA	GLI pathogenesis-related 2
Amillepora22042-RA	Ring finger protein, transmembrane
Amillepora22049-RA	GLI pathogenesis-related 2
Amillepora22053-RA	Ion channel
Amillepora22051-RA	ADP-ribosylation-like factor 6 interacting protein 4
Amillepora22056-RA	Replication protein A2, 32kDa
Amillepora22057-RA	Zinc finger, C2H2 type
Amillepora22064-RA	syndecan binding protein (syntenin)
Amillepora22069-RA	Protein of unknown function (DUF640)
